SUBJECT OF PICTURE,Description,Zone - e.g. Watershed,Classification (Healthy / Unhealthy / It Depends),Source link 1 - Image File Name,"Image source (e.g., TERC-owned or source URL)",Anything else/Comments,,Notes:
Crayfish,Unhealthy: Non-native crayfish populations have increased and compete with native species for resources,Lake Bottom,Unhealthy,TERC_crayfish.png,"Brant Allen, UC Davis TERC", ,,Descriptions ARE case-sensitive and white-space sensitive
Crayfish,Unhealthy: Non-native crayfish populations have increased and compete with native species for resources,Lake Bottom,Unhealthy,TERC_CrayfishFace.png,"Brant Allen, UC Davis TERC", ,,Descriptions ARE case-sensitive and white-space sensitive
Sandy shallow waters,Healthy: Sandy nearshore habitat is found in some regions around the lake,Lake Bottom,Healthy,TERC_SandySubstrate.png,"Brant Allen, UC Davis TERC","I think I don't understand the lesson behind this one. Can sandy nearshore be a problem? It is just that there can be different types of substrates... either sandy, rocky, vegetated...",,Make sure the URL points to an actual IMAGE file
Rocky shallow waters,Healthy: Rocky nearshore habitat is found in some regions around the lake,Lake Bottom,Healthy,TERC_NearshoreRocks.png,"Alison Toy, UC Davis TERC",,,
Decomposed granite,Healthy: Decomposed granite (broken down granite rock) is found on the lake bottom in some regions around the lake,Lake Bottom,Healthy,TERC_DecomposedGraniteLakeBottom.png,"Brant Allen, UC Davis TERC",,,
Sediment at bottom of the lake,Healthy: Sediment that has been accumulating since the lake was first formed is found at the bottom of the lake,Lake Bottom,Healthy,TERC_SpectralImagingCameraSubstrate.png,"Brant Allen, UC Davis TERC",,,
Attached algae on rocks,"It Depends: Algae attached to rocks can be a natural part of the ecosystem, but excessive algae can also be an indicator of nutrient pollution in the water",Lake Bottom,It Depends,TERC_BrantAllenSamplingPeriphyton.png,"Scott Hackley, UC Davis TERC","Can we say more about why it depends? E.g., algae can be a natural part of a lake system, but can also indicate fertilizer pollution",,"Zone can be - Watershed, Nearshore, Open Water, Lake Bottom"
Attached algae on rocks,"It Depends: Algae attached to rocks can be a natural part of the ecosystem, but excessive algae can also be an indicator of nutrient pollution in the water",Lake Bottom,It Depends,TERC_BurntCedarBeach2009_JenSchmidt.png,"Jen Schmidt, UC Davis TERC",,,
Invasive clam shells,"Unhealthy: Non-native Asian clams are increasing in population, spreading to other areas around the lake. Their beds release high levels of phosphates resulting in unsightly and unnatural algal growth",Lake Bottom,Unhealthy,TERC_AsianClamsWithZygnimaElkPoint2008.png,"Brant Allen, UC Davis TERC",,,
Clam mats on lake bottom,Healthy: Rubber mats have been put on the bottom of the lake to manage the growing non-native Asian clam populations,Lake Bottom,It Depends,TERC_ClamBarrier.png,"Brant Allen, UC Davis TERC",https://www.flickr.com/photos/usfwsmtnprairie/13390718794/in/photolist-6VTFes-dcnzwn-7cLhcH-3DzmA4-8FUdhU-2PqJAz-4fZpyB-7b8vQm-e3tSMd-78CFRY-iRbDRC-2PvaWf-m2aWm-6FXAfb-cwuScE-ihDBKW-8vSbn4-fyqY25-ihCVy3-GUbXt-atQjrp-4QHmCh-ftnb6A-8oKe9R-mphWaY-64ELzT-88X28H-4JMLk6-cjqzYs-8NP7Uf-8Zw2ud-pXutK-mCsYER-cnKepu-cnKbLJ-9fc1ir-m2bd1-8E7WSJ-atSZ1E-atQs6x-m2axs-6et9ZA-891eSj-Bs6y4-5hRkaW-891fn3-891fUG-9LJweC-DSoYe-DSoYp,,
Boat wreck at bottom of the lake,"It Depends: Boat wrecks can provide habitat for fish and other species, however, pollutants such as gasoline can leach into the water as the boat breaks down",Lake Bottom,It Depends,Fifi_shipwreck_wikicommons.png,"Almokla, Wikimedia",http://upload.wikimedia.org/wikipedia/commons/4/4d/Fifi_shipwreck.jpg,,
Macroinvertebrates,"Healthy: Small ""bugs"" called macroinvertebrates found in sediment are an important part of the food web",Lake Bottom,Healthy,MayflyLarva.png,"Thomas Quine, Flickr (450x271)",https://www.flickr.com/photos/quinet/45474721/,,
Mysis shrimp on lake bottom,It Depends: Mysis shrimp are non-native and have eaten many of the native zooplankton in Lake Tahoe. Their intentional introduction has caused many unintentional and unforeseen problems.,Lake Bottom,It Depends,Mysis-inwater.png,Castanet News,Comment on why 'it depends'?,,
Tires,Unhealthy: Old tires found at the bottom of the lake should be removed because they break down into chemicals which can harm the plants and animals in the lake,Lake Bottom,Unhealthy,tired-cocoabiscuit.png,"
Cocoabiscuit, Flickr (450x311)",https://www.flickr.com/photos/jfgallery/11394195253/in/photolist-imSehi-8GPt2A-7mbXi-7mbWZ-8gaaTQ-6Vxwox-ae159-H6hYG-b2AnCK-52QeHn-4g9Vsr-8GPv9s-4N7aCj-3gkci3-89wKwD-BLHWj-fecCGS-mFzP8x-9DL7Cs-8FMtjT-8FMsat-bBKNwc-4okTfz-7mbVX-fVC3v-dymE4X-dA2W1s-bwkeVT-4cMTcU-BLHW4-8eDHAu-7mbW7-BLHVR-cQ7s6h-9zwkDd-8tGF3i-itHKAm-BLHWs-aHctfB-j3bXg-kfgxbe-35dD3y-fVB61-8GU3aG-tPEmp-cDRWps-aFFkER-7kVw2f-8ADknq-8FQyGh,,
Trash on lake bottom,Unhealthy: Trash found at the bottom of the lake is both unsightly and harmful,Lake Bottom,Unhealthy,TrashOnLakeBottom_KarenLaFarge-Unrein.png,Karen LaFarge-Unrein,http://www.tahoedailytribune.com/news/10184011-113/beach-leave-trash-lake,,
Algae blooms,Unhealthy: Algae blooms can harm fish in the lake by using up the oxygen in the water during decomposition,Nearshore,Unhealthy,algae-bloom.png,New Hampshire Department of Environmental Services,,,
Algae blooms,Unhealthy: Algae blooms can harm fish in the lake by using up the oxygen in the water during decomposition,Nearshore,Unhealthy,TERC_MarlaBayAlgaeBloom.png,"Scott Hackley, UC Davis TERC",,,
Aquatic invasive weeds,Unhealthy: Invasive water plants (aquatic weeds) can outcompete native vegetation and multiply quickly,Nearshore,Unhealthy,TERC_PondweedAndBoatProps.png,"Brant Allen, UC Davis TERC",,,
Aquatic plants,It Depends: Some aquatic plants are native and some are non-native and/or invasive,Nearshore,It Depends,TERC_Pondweed.png,"Brant Allen, UC Davis TERC",,,
Ducks in algae,"It Depends: Ducks are native to the environment, however, more ducks mean more duck droppings which cause water pollution, create an unsanitary environment for human recreation, and lead to the spread of disease in the bird population",Nearshore,It Depends,ducks_in_algae.png,Sean Foltz ,,,
Eurasian watermilfoil,"Unhealthy: Eurasian watermilfoil is a non-native, invasive aquatic plant that can quickly spread, crowd out native plants, and interfere with recreation",Nearshore,Unhealthy,TERC_EurasianWatermilfoilTahoeKeys.png,"Marion Wittmann, UC Davis TERC",,,
Curlyleaf pondweed ,"Unhealthy: Curlyleaf pondweed is a non-native, invasive aquatic plant that can quickly spread, crowd out native plants, and interfere with recreation",Nearshore,Unhealthy,League_CurlyleafPondweedInfestation.png,League to Save Lake Tahoe,,,
Piers,"It Depends: Piers can damage the shorezone area of a lake, but they can also provide valuable habitat for fish",Nearshore,It Depends,TERC_Pier_AlisonToy.png,"Alison Toy, UC Davis TERC",,,
Paddleboarding,"Healthy: Human-powered sports generally have less impact, however, even paddleboarders must be certain that they do not transport non-native invaders from other waterbodies",Nearshore,Healthy,TERC_Paddleboarding_AlisonToy.png,Derek Wentz,,,
Paddleboarding near the shore,"Healthy: Human-powered sports generally have less impact, however, even paddleboarders must be certain that they do not transport non-native invaders from other waterbodies",Nearshore,Healthy,nearshore_paddle.png,Phil Segal,TahoePaddle.com,,
Kayaking,"Healthy: Human-powered sports generally have less impact, however, even kayakers must be certain that they do not transport non-native invaders from other waterbodies. Join ""Tahoe Keepers"" and learn how to properly self-inspect your personal watercraft.",Nearshore,Healthy,TERC_kayaking_AlisonToy.png,"Alison Toy, UC Davis TERC",,,
Motor boating near the shore,It Depends: Waves from motor boats can cause shoreline erosion,Nearshore,It Depends,Motorboat_ReinerKraft.png,"Reiner Kraft, Flickr (450x338)",https://www.flickr.com/photos/reiner/672971357/in/photolist-22t9Wr-22tbAX-22t99r-oqXTM-9PuRC5-2sAx2u-9mnziQ-8mLK4z-552miR-556xp5-552k9r-556xqJ-556xau-556xcw-556xVU-556x6o-552kcZ-552kEx-556xy5-552kQk-556x4A-556xTJ-556xhs-552jT2-552kGt-556xBs-h9Z7YW-552k7c-552jLF-552jWK-552kTt-552jYP-552kNH-552kD6-552kBc-552ki6-552knn-556xL5-552kLx-556yey-552k5v-552kgi-556yQw-552mvi-552m3a-552kVD-556yvG-552m4Z-6FUyhf-fbNghh, ,
Minnows,Healthy: Minnows are found in the nearshore around rocks and under piers,Nearshore,Healthy,TERC_MinnowsChimneyBeach_MattSmith.png,Matt Smith,,,
Kayaks and boats can spread invasive species,Unhealthy: Even non-motorized watercraft can transport invasive species into a lake. All watercraft should be inspected before launching into Lake Tahoe.,Nearshore,Unhealthy,USFS_BoatAndKayakInspection.png,U.S. Forest Service,http://www.fs.usda.gov/Internet/FSE_MEDIA/stelprdb5367634.jpeg,,
Kayaks can spread invasive mussels too,Unhealthy: Even non-motorized watercraft can transport invasive species into a lake. All watercraft should be inspected before launching into Lake Tahoe.,Nearshore,Unhealthy,wild-mussels.png,"Hetty Wildblood, Koru Kayaking",,,
Beach covered in invasive mussels,Unhealthy: Invasive mussels can pile up along the shoreline making beaches impossible to walk on barefoot. Keep these invasive species out of Lake Tahoe.,Nearshore,Unhealthy,MusselsOnBeach_MarkHoffman.png,"Mark Hoffman, Journal Sentinel",http://www.jsonline.com/news/wisconsin/scientists-experiment-hope-to-kill-zebra-mussels-in-state-lake-b99289167z1-262775121.html,,
Boat launching,"It Depends: Before launching your boat, always have it inspected to prevent the spread of aquatic invasive species",Nearshore,Healthy,Flickr_BoatLaunching.png,"
US Forest Service",https://www.flickr.com/photos/fsnorthernregion/4926509815/in/photolist-32G3C-eWDzf6-fxHw2M-6Tc5zw-6Tc6MN-6Tc7Y5-6Tc4AA-6T89sK-6Tc94J-7omF9b-6Tcdkw-6Tcbgo-6Tc3jm-6Tcei7-6T8bCR-7ohK9g-4J7RJM-cUK1Km-cUJZDm-cUK41q-8vkDJp-4QuiLw-cUK2QJ-bjAPhW-ebcZjr-4RG2n3-6go64r-fazn7C-cUJVdL-8tdcCE-ebngVf-bGg2jt-hnAKi7-gQhkRt-fc2XKv-bGg8bH-7dQRR7-fPjhBj-cUJU4d-6GBXfW-6gL2KK-cW2LoW-cW2F1J-cW2x4Q-cW2uaQ-cW2Goq-cW2yso-cEF965-deadb9-dYzLYh,,
Boat inspection,Healthy: Mandatory boat inspections help prevent the spread of invasive species that could have devastating long-term effects on Lake Tahoe,Nearshore,Healthy,BoatInspections.png,Tahoe Resource Conservation District,,,
Personal watercraft inspection,Healthy: All watercrafts must be inspected to help prevent the spread of invasive species that could have devastating long-term effects on Lake Tahoe,Nearshore,Healthy,TRCD_PWC_Flush.png,Tahoe Resource Conservation District,,,
Fly-fisherman,"It Depends: Fly-fishing usually has minimal impact, but invasive species can be transported by fishing gear, bait buckets, and live bait wells",Nearshore,Healthy,Wikimedia_Flyfishing.png,"Public domain, author: Ziga",http://upload.wikimedia.org/wikipedia/commons/0/06/Flyfishing.jpg,,
Walking on a sandy beach,Healthy: Quagga mussel shells are very sharp… you don't want them on your beaches,Nearshore,Healthy,Clean_Beach.png,Courtesy USDA Forest Service,http://farm7.staticflickr.com/6136/5985134443_0809f4e684_o.jpg,,
Quagga mussels on the beach,Unhealthy: Quagga mussel shells are sharp…you don't want them on your beaches,Nearshore,Unhealthy,quaggas-in-lake-mead.png,U.S. Bureau of Reclamation,,,
Kayaking in open water,"Healthy: Human-powered sports generally have less impact, however, kayakers must be certain that they do not transport aquatic invasive species from other waterbodies",Open Water,Healthy,Wikimedia_Kayaking_Lake_Tahoe.png,"Squaw Valley Lodge, Flickr (450x300)",https://www.flickr.com/photos/squawvalleylodge/4666070484/in/photostream,,
Paddleboarding in open water,"Healthy: Human-powered sports generally have less impact, however, kayakers must be certain that they do not transport aquatic invasive species from other waterbodies",Open Water,Healthy,paddleboard_open_water.png,"Phil Segal, Tahoe Paddle",,,
Motor boating in open water,It Depends: Only 4-stroke engines are allowed in Lake Tahoe to reduce the amount of toxic gas and oil that can get into the lake,Open Water,It Depends,speedboat.png,"From website photo is on: ""Free for commercial use / No attribution required"" ",Photo link: http://pixabay.com/en/speedboat-motorboat-boating-boat-2330/,,
Plastic bags in water,"Unhealthy: Plastic can be harmful to fish, birds and other animals and should be removed",Open Water,Unhealthy,PlasticBagsInWater.png,"Gavin Parson, Marine Photobank",,,
Trash in water,"Unhealthy: Plastic can be harmful to fish, birds and other animals and should be removed",Open Water,Unhealthy,TrashInWater.png,"Igor Jandric, Shutterstock
                ",,,
Research vessel on the water,Healthy: What gets measured gets done right Scientific research allows for wise public policy decisions,Open Water,Healthy,TERC_RVBob_ResearchVessel.png,"Brant Allen, UC Davis TERC",,,
Lake trout,It Depends: Lake trout were intentionally introduced into Lake Tahoe in the 1800s and outcompeted the native Lahontan cutthroat trout,Open Water,It Depends,Lake_trout_fish_underwater_close_up_head.png,US Fish and Wildlife Service,http://upload.wikimedia.org/wikipedia/commons/c/cc/Lake_trout_fish_underwater_close_up_head.jpg,,
Other fish that live in pelagic zone,It Depends: Native or non-native? The fish might be an essential part of the natural food web or they may be outcompeting native species for resources,Open Water,It Depends,Rainbow_trout_underwater.png,US Fish and Wildlife Service,http://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Close_up_of_rainbow_trout_fish_underwater_oncorhynchus_mykiss.jpg/800px-Close_up_of_rainbow_trout_fish_underwater_oncorhynchus_mykiss.jpg,,
Zooplankton (copepods),Healthy: Essential to any lake food web Tiny organisms that feed off phytoplankton keeping the waters clear Food for fish,Open Water,Healthy,Diaptomus - 05821.png,Copyright Warren Photography,,,
Sailboat,Healthy: Harnesses renewable wind energy while producing only minimal water and air pollution,Open Water,Healthy,sailboat.png,"From website photo is on: ""Free for commercial use / No attribution required"" ",http://pixabay.com/en/sail-sailing-boat-boot-see-391521/,,
Deep clear water,"Healthy: Water with minimal algae and sediment is clear and considered ""oligotrophic"", meaning it is very low in nutrients, algae and sediment",Open Water,Healthy,TERC_Blue_water_Lake_Tahoe.png,"CC Downtown Gal, Wikimedia","http://commons.wikimedia.org/wiki/File:Blue_water,_Lake_Tahoe.jpg",,
Algal bloom in deep water,Unhealthy: Large algal blooms deplete oxygen from the water and block sunlight ,Open Water,Unhealthy,BiofilmAlguesMorgat09.png,"CC Lamiot, Wikimedia",http://commons.wikimedia.org/wiki/File:BiofilmAlguesMorgat09.JPG,But since some lakes are naturally eutrophic so how / will we address that?,
Ferries,It Depends: As a form of mass transportation ferries can reduce the carbon footprint compared with everyone driving individually,Open Water,It Depends,TahoeQueen_twogiraffe.png,"
twogiraffe, Flickr (450x299)",https://www.flickr.com/photos/twogiraffe/4349912719/in/photolist-7jHTk2-pmiEJY-pjieZU-8xi48p-fKxYzr-6s4AhS-nMCXgk-agniHb-pmiFkh-p4Rd7T-7Corva-6JPYCj-dQfyjU-6aisRo-ai5tb9-28jjiK-dRxwDd-m9QTXN-64aFDA-pjifbq-aN46Hr-eji2L8-p4Rcjk-pm44Ri-66Cxey-p4QafK-p4Rca2-psxpLk-aHNfU2-pb8XXG-pb8kBC-cDD9U-cDD9S-nQ9BkY-noGxY-nTKNjw-pskP16-psC7KB-pb7ZqV-oxCAob-dnzRGj-88dR21-88aDWP-8x3JG-3odGi7-9v4ZG5-5kKvSJ-NMfdR-NMn96-m2Zha,,
Pollen,Healthy: Bright green pine pollen can be seen floating on the surface of the lake in spring. This is often confused with algal blooms or pollution but it is natural and safe for the lake.,Open Water,Healthy,pollen on water_NickChill.png,"
NickChillPhotography.com",https://www.flickr.com/photos/nchill4x4/4910170271/in/photolist-8tTUy8-dapSbp-NmZ6N-4D5v93-61D1xC-due1Nk-nYqb7q-evS2As-5zDZSS-bXiXuE-iomYbq-9C68Wn-7SFhyp-fKhQ9q-9MkZpE-amezQp-eVrjqs-2FtmE-4zTt8-azB9ik-azDNLh-2Eouf-pmPzHv-osMYV7-7hW8vJ-o7BhUB-odk23q-7SnBD6-8C5Bou-6KvkHJ-ctpv11-nMER9Y-cTnoD5-6UFehq-cPC3AA-cSbVQf-dme16S-mmfmEU-iSsaXJ-on3Uxf-op5Uh8-ooSyMQ-9S3Qbv-7xpDsV-9DBti3-9S6HWW-9S3Q1a-9S3R4H-6fypGm-nGkX4X/,,
Lake monsters,"It Depends: Many lakes have a mythological creature, such as Tahoe Tessie, Champ, or Loch Ness Monster, which is thought to live in the deep waters",Open Water,It Depends,LakeMonster.png,"Marcus Metropolis, Flickr (450x338)",https://www.flickr.com/photos/markysparkly/6196051279/in/photolist-4Z8ei-4wvT47-28aUt-iVPcpu-d2kofS-9jYhxi-8jNpST-4bVfpZ-oywXBL-9caPWw-sNtEn-8W8vJv-furPCX-furPMT-arwobk-6z2MPi-fufgU8-fuuyhA-nVp1Ef-furPXi-9doKoP-dPUCYF-oeELJT-fufgmz-6WXV6r-8Rp5bB-buH3FP-f2TxgZ-9yihZT-oXvoqm-furRsz-fraH4V-umCXd-umDwW-q9pJhs-3oMAQ2-2NCxZ-ejQ5PL-7htmin-7htkFP-7htkZR-akFvLp-8xCV4x-8xCVdX-8xFXjd-8xFXpb-8xCUPP-ovzUH9-5pAUpc-5pFcTu,,
Evaporation,"It Depends: Various climate factors such as wind, humidity, and temperature can impact the rate of evaporation (or changing of water to water vapor) from the surface of the lake",Open Water,It Depends,lake-mist.png,"From website photo is on: ""Free for commercial use / No attribution required"" ",http://pixabay.com/en/lake-mist-foggy-forest-morning-480472/,,
Scuba diving,Healthy: Researchers study the underwater ecosystem of Lake Tahoe ,Open Water,Healthy,TERC_CathyPrestonUnderwaterTahoeBlue.png,"Brant Allen, UC Davis TERC",,,
Oil slick on water,Unhealthy: Oil from from leaking boats is toxic to plants and animals in the water,Open Water,Unhealthy,OilInTheWater.png,"Steve, Flickr (450x299)",https://www.flickr.com/photos/e_cathedra/540727956/in/set-72157594439584863,,
Snow falling on water,"It Depends: Precipitation is a natural part of the hydrologic cycle and replenishes the water supply However, snow is usually never pure water and any particulate matter/pollution in the airshed will be carried by the snow into the water",Open Water,It Depends,Snow Falling_jan.png,"jan, Flickr (450x300)
",https://www.flickr.com/photos/49774508@N06/6391162297/in/photolist-e6oreh-nGydoh-8ZqUin-pp6EbR-nmzLQ9-oZWFvL-biENhT-aJLnTp-eetSKU-foTbhW-iL8RQG-kFKLb8-n843AE-i4RM1J-kDmLcr-gstifX-aUnW4v-78FU5D-bhE7fg-pp16X7-nLHk4j-juktux-o7f8Aq-6WCbKJ-mwgJW4-iZkpyG-5rTziC-fe2riH-pfWWXt-8WUK6J-q5U59U-a2ekEg-nbJDVT-o6tam5-9TwMhk-o4jcKu-aV9oUp-hfnYGD-8ZJoLi-iuwg46-bum6JC-hDZGbR-6miTHx-eY5erW-nFfb2q-kAjCh1-ahPzoo-98Wbdj-ohDLbv-cEvf5J,,
Research vessel with secchi disk,Healthy: What gets measured gets done right Scientific research allows for wise public policy decisions,Open Water,Healthy,TERC_SecchiDisk_HeatherSegale.png,"Heather Segale, UC Davis TERC",,,
Off-road vehicles,"It Depends: Off-highway vehicles (OHV) can cause soil compaction and erosion, harm vegetation and water quality, and threaten both plant and animal habitat",Watershed,It Depends,4wd-offroad.png,"shellie, Flickr (450x300)",https://www.flickr.com/photos/flyingkiwigirl/12726493714/in/photolist-koABcq-fcwDvU-7LzCZY-kezsET-gDqVdD-kozj9Z-koyF36-653did-koytoV-hbarhd-o22vdH-9bd1hC-kHtebm-nYBM3f-koAGBd-7p3qRJ-7i9z35-iiT4T4-i35aeD-mrdsNF-4qP3Tx-oZ2n5s-bwCpXt-dN47r8-a3xjzy-mjBTgV-m8eu7D-brDSC3-kp5E9b-pYXnXK-qipQJP-dXgnA7-kp3esn-oa6BJX-a3uxHr-fEhjQg-fEyVVd-9mXbvt-aefUyi-guYoYm-6MWCoP-fLmRG1-o21rkM-kozuo6-8hAdbE-8tNghm-koB4Uo-qfp1bW-5S9H3k-4Bbr34,,
Fertilizer,"It Depends: Too much fertilizer can run off into streams and lakes and cause algae to bloom, but using fertilizer in small accurate amounts low in phosphorus can create lush plants without causing a negative impact on the lake.  ",Watershed,It Depends,Fertilizer.png,"David Reber, Flickr (447x337)",https://www.flickr.com/photos/davidreber/4502902732/,,
Runaway Wildfires,"Unhealthy: Runaway wildfires tend to burn hot, resulting in a lot of smoke and ash, and when large areas are burned can result in erosion when rainstorms wash the unprotected soil into streams or lakes",Watershed,Unhealthy,USFS_WildFire.png,USDA Forest Service,http://en.wikipedia.org/wiki/Controlled_burn#mediaviewer/File:Northwest_Crown_Fire_Experiment.png,,
Prescribed burns,It Depends: Prescribed or controlled burns reduce the risk of wildfires and if properly managed can reduce impact of fires,Watershed,It Depends,UCCE_PrescribedFire_100_0592.png,"Susie Kocher, University of California Cooperative Extension",,,
